Sport,Level,League,Date,Day,Time,Home Team,Road Team,Location,Home City,Home State
basketball,pro,NBA,2023-10-24,Tuesday,,Denver Nuggets,Los Angeles Lakers,Ball Arena,Denver,CO
basketball,pro,NBA,2023-10-24,Tuesday,,Golden State Warriors,Phoenix Suns,Chase Center,San Francisco,CA
basketball,pro,NBA,2023-10-25,Wednesday,,Orlando Magic,Houston Rockets,Amway Center,Orlando,FL
basketball,pro,NBA,2023-10-25,Wednesday,,New York Knicks,Boston Celtics,Madison Square Garden (IV),New York,NY
basketball,pro,NBA,2023-10-25,Wednesday,,Indiana Pacers,Washington Wizards,Gainbridge Fieldhouse,Indianapolis,IN
basketball,pro,NBA,2023-10-25,Wednesday,,Charlotte Hornets,Atlanta Hawks,Spectrum Center,Charlotte,NC
basketball,pro,NBA,2023-10-25,Wednesday,,Miami Heat,Detroit Pistons,Kaseya Center,Miami,FL
basketball,pro,NBA,2023-10-25,Wednesday,,Toronto Raptors,Minnesota Timberwolves,Scotiabank Arena,Toronto,ON
basketball,pro,NBA,2023-10-25,Wednesday,,Brooklyn Nets,Cleveland Cavaliers,Barclays Center,Brooklyn,NY
basketball,pro,NBA,2023-10-25,Wednesday,,Memphis Grizzlies,New Orleans Pelicans,FedEx Forum,Memphis,TN
basketball,pro,NBA,2023-10-25,Wednesday,,Chicago Bulls,Oklahoma City Thunder,United Center,Chicago,IL
basketball,pro,NBA,2023-10-25,Wednesday,,Utah Jazz,Sacramento Kings,Delta Center,Salt Lake City,UT
basketball,pro,NBA,2023-10-25,Wednesday,,San Antonio Spurs,Dallas Mavericks,Frost Bank Center,San Antonio,TX
basketball,pro,NBA,2023-10-25,Wednesday,,Los Angeles Clippers,Portland Trail Blazers,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-10-26,Thursday,,Milwaukee Bucks,Philadelphia 76ers,Fiserv Forum,Milwaukee,WI
basketball,pro,NBA,2023-10-26,Thursday,,Los Angeles Lakers,Phoenix Suns,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2023-10-27,Friday,,Memphis Grizzlies,Denver Nuggets,FedEx Forum,Memphis,TN
basketball,pro,NBA,2023-10-27,Friday,,Charlotte Hornets,Detroit Pistons,Spectrum Center,Charlotte,NC
basketball,pro,NBA,2023-10-27,Friday,,Atlanta Hawks,New York Knicks,State Farm Arena,Atlanta,GA
basketball,pro,NBA,2023-10-27,Friday,,Cleveland Cavaliers,Oklahoma City Thunder,Rocket Mortgage Fieldhouse,Cleveland,OH
basketball,pro,NBA,2023-10-27,Friday,,Boston Celtics,Miami Heat,TD Garden,Boston,MA
basketball,pro,NBA,2023-10-27,Friday,,Chicago Bulls,Toronto Raptors,United Center,Chicago,IL
basketball,pro,NBA,2023-10-27,Friday,,San Antonio Spurs,Houston Rockets,Frost Bank Center,San Antonio,TX
basketball,pro,NBA,2023-10-27,Friday,,Dallas Mavericks,Brooklyn Nets,American Airlines Center,Dallas,TX
basketball,pro,NBA,2023-10-27,Friday,,Utah Jazz,Los Angeles Clippers,Delta Center,Salt Lake City,UT
basketball,pro,NBA,2023-10-27,Friday,,Portland Trail Blazers,Orlando Magic,Moda Center,Portland,OR
basketball,pro,NBA,2023-10-27,Friday,,Sacramento Kings,Golden State Warriors,Golden 1 Center,Sacramento,CA
basketball,pro,NBA,2023-10-28,Saturday,,Detroit Pistons,Chicago Bulls,Little Caesars Arena,Detroit,MI
basketball,pro,NBA,2023-10-28,Saturday,,Washington Wizards,Memphis Grizzlies,Capital One Arena,Washington,DC
basketball,pro,NBA,2023-10-28,Saturday,,New Orleans Pelicans,New York Knicks,Smoothie King Center,New Orleans,LA
