primary_key,sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
NBA_2023-10-24_NA_Denver Nuggets_Los Angeles Lakers,basketball,pro,NBA,2023-10-24,Tuesday,,Denver Nuggets,Los Angeles Lakers,Ball Arena,Denver,CO
NBA_2023-10-24_NA_Golden State Warriors_Phoenix Suns,basketball,pro,NBA,2023-10-24,Tuesday,,Golden State Warriors,Phoenix Suns,Chase Center,San Francisco,CA
NBA_2023-10-25_NA_Orlando Magic_Houston Rockets,basketball,pro,NBA,2023-10-25,Wednesday,,Orlando Magic,Houston Rockets,Amway Center,Orlando,FL
NBA_2023-10-25_NA_New York Knicks_Boston Celtics,basketball,pro,NBA,2023-10-25,Wednesday,,New York Knicks,Boston Celtics,Madison Square Garden (IV),New York,NY
NBA_2023-10-25_NA_Indiana Pacers_Washington Wizards,basketball,pro,NBA,2023-10-25,Wednesday,,Indiana Pacers,Washington Wizards,Gainbridge Fieldhouse,Indianapolis,IN
NBA_2023-10-25_NA_Charlotte Hornets_Atlanta Hawks,basketball,pro,NBA,2023-10-25,Wednesday,,Charlotte Hornets,Atlanta Hawks,Spectrum Center,Charlotte,NC
NBA_2023-10-25_NA_Miami Heat_Detroit Pistons,basketball,pro,NBA,2023-10-25,Wednesday,,Miami Heat,Detroit Pistons,Kaseya Center,Miami,FL
NBA_2023-10-25_NA_Toronto Raptors_Minnesota Timberwolves,basketball,pro,NBA,2023-10-25,Wednesday,,Toronto Raptors,Minnesota Timberwolves,Scotiabank Arena,Toronto,ON
NBA_2023-10-25_NA_Brooklyn Nets_Cleveland Cavaliers,basketball,pro,NBA,2023-10-25,Wednesday,,Brooklyn Nets,Cleveland Cavaliers,Barclays Center,Brooklyn,NY
NBA_2023-10-25_NA_Memphis Grizzlies_New Orleans Pelicans,basketball,pro,NBA,2023-10-25,Wednesday,,Memphis Grizzlies,New Orleans Pelicans,FedEx Forum,Memphis,TN
NBA_2023-10-25_NA_Chicago Bulls_Oklahoma City Thunder,basketball,pro,NBA,2023-10-25,Wednesday,,Chicago Bulls,Oklahoma City Thunder,United Center,Chicago,IL
NBA_2023-10-25_NA_Utah Jazz_Sacramento Kings,basketball,pro,NBA,2023-10-25,Wednesday,,Utah Jazz,Sacramento Kings,Delta Center,Salt Lake City,UT
NBA_2023-10-25_NA_San Antonio Spurs_Dallas Mavericks,basketball,pro,NBA,2023-10-25,Wednesday,,San Antonio Spurs,Dallas Mavericks,Frost Bank Center,San Antonio,TX
NBA_2023-10-25_NA_Los Angeles Clippers_Portland Trail Blazers,basketball,pro,NBA,2023-10-25,Wednesday,,Los Angeles Clippers,Portland Trail Blazers,Crypto.com Arena,Los Angeles,CA
NBA_2023-10-26_NA_Milwaukee Bucks_Philadelphia 76ers,basketball,pro,NBA,2023-10-26,Thursday,,Milwaukee Bucks,Philadelphia 76ers,Fiserv Forum,Milwaukee,WI
NBA_2023-10-26_NA_Los Angeles Lakers_Phoenix Suns,basketball,pro,NBA,2023-10-26,Thursday,,Los Angeles Lakers,Phoenix Suns,Crypto.com Arena,Los Angeles,CA
NBA_2023-10-27_NA_Memphis Grizzlies_Denver Nuggets,basketball,pro,NBA,2023-10-27,Friday,,Memphis Grizzlies,Denver Nuggets,FedEx Forum,Memphis,TN
NBA_2023-10-27_NA_Charlotte Hornets_Detroit Pistons,basketball,pro,NBA,2023-10-27,Friday,,Charlotte Hornets,Detroit Pistons,Spectrum Center,Charlotte,NC
NBA_2023-10-27_NA_Atlanta Hawks_New York Knicks,basketball,pro,NBA,2023-10-27,Friday,,Atlanta Hawks,New York Knicks,State Farm Arena,Atlanta,GA
NBA_2023-10-27_NA_Cleveland Cavaliers_Oklahoma City Thunder,basketball,pro,NBA,2023-10-27,Friday,,Cleveland Cavaliers,Oklahoma City Thunder,Rocket Mortgage Fieldhouse,Cleveland,OH
NBA_2023-10-27_NA_Boston Celtics_Miami Heat,basketball,pro,NBA,2023-10-27,Friday,,Boston Celtics,Miami Heat,TD Garden,Boston,MA
NBA_2023-10-27_NA_Chicago Bulls_Toronto Raptors,basketball,pro,NBA,2023-10-27,Friday,,Chicago Bulls,Toronto Raptors,United Center,Chicago,IL
NBA_2023-10-27_NA_San Antonio Spurs_Houston Rockets,basketball,pro,NBA,2023-10-27,Friday,,San Antonio Spurs,Houston Rockets,Frost Bank Center,San Antonio,TX
NBA_2023-10-27_NA_Dallas Mavericks_Brooklyn Nets,basketball,pro,NBA,2023-10-27,Friday,,Dallas Mavericks,Brooklyn Nets,American Airlines Center,Dallas,TX
NBA_2023-10-27_NA_Utah Jazz_Los Angeles Clippers,basketball,pro,NBA,2023-10-27,Friday,,Utah Jazz,Los Angeles Clippers,Delta Center,Salt Lake City,UT
NBA_2023-10-27_NA_Portland Trail Blazers_Orlando Magic,basketball,pro,NBA,2023-10-27,Friday,,Portland Trail Blazers,Orlando Magic,Moda Center,Portland,OR
NBA_2023-10-27_NA_Sacramento Kings_Golden State Warriors,basketball,pro,NBA,2023-10-27,Friday,,Sacramento Kings,Golden State Warriors,Golden 1 Center,Sacramento,CA
NBA_2023-10-28_NA_Detroit Pistons_Chicago Bulls,basketball,pro,NBA,2023-10-28,Saturday,,Detroit Pistons,Chicago Bulls,Little Caesars Arena,Detroit,MI
NBA_2023-10-28_NA_Washington Wizards_Memphis Grizzlies,basketball,pro,NBA,2023-10-28,Saturday,,Washington Wizards,Memphis Grizzlies,Capital One Arena,Washington,DC
