league,team_name,city,state
NBA,Los Angeles Lakers,Los Angeles,CA
NBA,Phoenix Suns,Phoenix,AZ
NBA,Houston Rockets,Houston,TX
NBA,Boston Celtics,Boston,MA
NBA,Washington Wizards,Washington,DC
NBA,Atlanta Hawks,Atlanta,GA
NBA,Detroit Pistons,Detroit,MI
NBA,Minnesota Timberwolves,Minneapolis,MN
NBA,Cleveland Cavaliers,Cleveland,OH
NBA,New Orleans Pelicans,New Orleans,LA
NBA,Oklahoma City Thunder,Oklahoma City,OK
NBA,Sacramento Kings,Sacramento,CA
NBA,Dallas Mavericks,Dallas,TX
NBA,Portland Trail Blazers,Portland,OR
NBA,Philadelphia 76ers,Philadelphia,PA
NBA,Denver Nuggets,Denver,CO
NBA,New York Knicks,New York,NY
NBA,Miami Heat,Miami,FL
NBA,Toronto Raptors,Toronto,ON
NBA,Brooklyn Nets,Brooklyn,NY
NBA,Los Angeles Clippers,Los Angeles,CA
NBA,Orlando Magic,Orlando,FL
NBA,Golden State Warriors,San Francisco,CA
NBA,Chicago Bulls,Chicago,IL
NBA,Memphis Grizzlies,Memphis,TN
NBA,Indiana Pacers,Indianapolis,IN
NBA,Utah Jazz,Salt Lake City,UT
NBA,San Antonio Spurs,San Antonio,TX
NBA,Milwaukee Bucks,Milwaukee,WI
NBA,Charlotte Hornets,Charlotte,NC
ncaab,Rutgers University,New Brunswick,NJ
ncaab,Wake Forest,Winston-Salem,NC
ncaab,Seton Hall,South Orange,NJ
ncaab,Ohio State,Columbus,OH
ncaab,Iowa,Iowa City,IA
ncaab,Michigan State,East Lansing,MI
ncaab,Illinois,Urbana-Champaign,IL
ncaab,Michigan,Ann Arbor,MI
ncaab,Maryland,College Park,MD
ncaab,Minnesota,Minneapolis,MN
ncaab,Purdue,West Lafayette,IN
ncaab,Nebraska,Lincoln,NE
ncaab,Wisconsin,Madison,WI
ncaab,St. John's (Exhibition),Queens,NY
ncaab,Niagara University,Niagara University,NY
ncaab,Canisius University,Buffalo,NY
ncaab,Saint Peter's University,Jersey City,NJ
ncaab,Manhattan College,New York,NY
ncaab,Fairfield University,Fairfield,CT
ncaab,Siena College,Loudonville,NY
ncaab,Marist College,Poughkeepsie,NY
ncaab,Quinnipiac University,Hamden,CT
ncaab,Iona University,New Rochelle,NY
ncaab,Mount St. Mary's (Md.),Emmitsburg,MD
ncaab,Rider University,Lawrenceville,NJ
ncaab,Seton Hall University,South Orange,NJ
ncaab,New Jersey Institute of Technology,Newark,NJ
ncaab,FDU,Teaneck,NJ
ncaab,Bucknell University,Lewisburg,PA
ncaab,Duquesne University,Pittsburgh,PA
