team,league
Palm Beach,Single-A
Tampa,Single-A
Down East,Single-A
Kannapolis,Single-A
Fayetteville,Single-A
Clearwater,Single-A
Myrtle Beach,Single-A
Dunedin,Single-A
Fort Myers,Single-A
Lynchburg,Single-A
Columbia,Single-A
San Jose,Single-A
Modesto,Single-A
Stockton,Single-A
Visalia,Single-A
Lakeland,Single-A
Jupiter,Single-A
Charleston,Single-A
Augusta,Single-A
Salem,Single-A
St. Lucie,Single-A
Carolina,Single-A
Bradenton,Single-A
Daytona,Single-A
Fredericksburg,Single-A
Delmarva,Single-A
Lake Elsinore,Single-A
Rancho Cuca.,Single-A
Inland Empire,Single-A
Fresno,Single-A
Wisconsin,High-A
Wilmington,High-A
Hudson Valley,High-A
Greenville,High-A
West Michigan,High-A
Lansing,High-A
Dayton,High-A
Asheville,High-A
Bowling Green,High-A
Vancouver,High-A
Jersey Shore,High-A
Beloit,High-A
Spokane,High-A
Cedar Rapids,High-A
Tri-City,High-A
South Bend,High-A
Rome,High-A
Brooklyn,High-A
Greensboro,High-A
Lake County,High-A
Fort Wayne,High-A
Quad Cities,High-A
Hickory,High-A
Winston-Salem,High-A
Hillsboro,High-A
Aberdeen,High-A
Great Lakes,High-A
Eugene,High-A
Peoria,High-A
Everett,High-A
Hartford,Double-A
Somerset,Double-A
Akron,Double-A
Altoona,Double-A
Richmond,Double-A
Binghamton,Double-A
San Antonio,Double-A
Tennessee,Double-A
Birmingham,Double-A
Amarillo,Double-A
Mississippi,Double-A
Tulsa,Double-A
Montgomery,Double-A
Midland,Double-A
Arkansas,Double-A
Portland,Double-A
New Hampshire,Double-A
Harrisburg,Double-A
Erie,Double-A
Bowie,Double-A
Reading,Double-A
Wichita,Double-A
Pensacola,Double-A
Biloxi,Double-A
NW Arkansas,Double-A
Chattanooga,Double-A
Springfield,Double-A
Rocket City,Double-A
Frisco,Double-A
Corpus Christi,Double-A
Syracuse,Triple-A
Norfolk,Triple-A
Jacksonville,Triple-A
St. Paul,Triple-A
Memphis,Triple-A
Rochester,Triple-A
Columbus,Triple-A
Reno,Triple-A
Round Rock,Triple-A
Indianapolis,Triple-A
Toledo,Triple-A
Charlotte,Triple-A
Albuquerque,Triple-A
Sacramento,Triple-A
Las Vegas,Triple-A
Scranton/WB,Triple-A
Worcester,Triple-A
Gwinnett,Triple-A
Buffalo,Triple-A
Durham,Triple-A
Lehigh Valley,Triple-A
Omaha,Triple-A
Okla. City,Triple-A
Sugar Land,Triple-A
Iowa,Triple-A
Louisville,Triple-A
Nashville,Triple-A
Salt Lake,Triple-A
El Paso,Triple-A
Tacoma,Triple-A
