sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
baseball,minors,Single-A,2024-08-10,Saturday,5:00 PM ET,Down East,Myrtle Beach,Grainger Stadium,Kinston,NC
baseball,minors,Single-A,2024-08-10,Saturday,6:00 PM ET,Jupiter,Fort Myers,Roger Dean Chevrolet Stadium,Jupiter,FL
baseball,minors,High-A,2024-08-10,Saturday,6:00 PM ET,Brooklyn,Hudson Valley,Maimonides Park,Brooklyn,NY
baseball,minors,Double-A,2024-08-10,Saturday,6:00 PM ET,Portland,Altoona,Hadlock Field,Portland,ME
baseball,minors,Single-A,2024-08-10,Saturday,6:00 PM ET,Lakeland,Clearwater,Publix Field at Joker Marchant Stadium,Lakeland,FL
baseball,minors,High-A,2024-08-10,Saturday,6:05 PM ET,Wilmington,Jersey Shore,Frawley Stadium,Wilmington,DE
baseball,minors,Single-A,2024-08-10,Saturday,6:05 PM ET,Charleston,Augusta,"Joseph P. Riley, Jr. Ballpark",Charleston,SC
baseball,minors,Single-A,2024-08-10,Saturday,6:05 PM ET,Salem,Delmarva,Carillion Clinic Field,Salem,VA
baseball,minors,High-A,2024-08-10,Saturday,6:05 PM ET,Asheville,Bowling Green,McCormick Field,Asheville,NC
baseball,minors,Double-A,2024-08-10,Saturday,6:05 PM ET,Richmond,Hartford,The Diamond,Richmond,VA
baseball,minors,Single-A,2024-08-10,Saturday,6:05 PM ET,Columbia,Kannapolis,Segra Park,Columbia,SC
baseball,minors,Single-A,2024-08-10,Saturday,6:10 PM ET,St. Lucie,Bradenton,Clover Park,Port St. Lucie,FL
baseball,minors,Single-A,2024-08-10,Saturday,6:30 PM ET,Dunedin,Palm Beach,TD Ballpark,Dunedin,FL
baseball,minors,High-A,2024-08-10,Saturday,6:30 PM ET,Greensboro,Rome,First National Bank Field,Greensboro,NC
baseball,minors,Single-A,2024-08-10,Saturday,6:30 PM ET,Tampa,Daytona,George M. Steinbrenner Field,Tampa,FL
baseball,minors,Double-A,2024-08-10,Saturday,6:35 PM ET,New Hampshire,Erie,Delta Dental Stadium,Manchester,NH
baseball,minors,Triple-A,2024-08-10,Saturday,6:35 PM ET,Buffalo,Rochester,Sahlen Field,Buffalo,NY
baseball,minors,Double-A,2024-08-10,Saturday,6:35 PM ET,Bowie,Harrisburg,Prince George's Stadium,Bowie,MD
baseball,minors,Triple-A,2024-08-10,Saturday,6:35 PM ET,Syracuse,Worcester,NBT Bank Stadium,Syracuse,NY
baseball,minors,Triple-A,2024-08-10,Saturday,6:35 PM ET,Norfolk,Durham,Harbor Park,Norfolk,VA
baseball,minors,Triple-A,2024-08-10,Saturday,6:35 PM ET,Lehigh Valley,Scranton/WB,Coca-Cola Park,Allentown,PA
baseball,minors,High-A,2024-08-10,Saturday,7:00 PM ET,Hickory,Aberdeen,L.P. Frans Stadium,Hickory,NC
baseball,minors,Double-A,2024-08-10,Saturday,7:00 PM ET,Tennessee,Chattanooga,Smokies Stadium,Kodak,TN
