sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
baseball,pro,MLB,2025-03-18,Tuesday,,Chicago Cubs,Los Angeles Dodgers,Tokyo Dome,Chicago,IL
baseball,pro,MLB,2025-03-19,Wednesday,,Chicago Cubs,Los Angeles Dodgers,Tokyo Dome,Chicago,IL
baseball,pro,MLB,2025-03-20,Thursday,,Atlanta Braves,Philadelphia Phillies,TBD,Atlanta,GA
baseball,pro,MLB,2025-03-20,Thursday,,Toronto Blue Jays,Tampa Bay Rays,TBD,Toronto,ON
baseball,pro,MLB,2025-03-20,Thursday,,Miami Marlins,Houston Astros,TBD,Miami,FL
baseball,pro,MLB,2025-03-20,Thursday,,Chicago White Sox,Los Angeles Angels,TBD,Chicago,IL
baseball,pro,MLB,2025-03-20,Thursday,,Cincinnati Reds,Kansas City Royals,TBD,Cincinnati,OH
baseball,pro,MLB,2025-03-20,Thursday,,Arizona D'Backs,Athletics,TBD,Phoenix,AZ
baseball,pro,MLB,2025-03-20,Thursday,,Baltimore Orioles,New York Yankees,TBD,Baltimore,MD
baseball,pro,MLB,2025-03-20,Thursday,,Minnesota Twins,Boston Red Sox,TBD,Minneapolis,MN
baseball,pro,MLB,2025-03-20,Thursday,,Washington Nationals,New York Mets,TBD,Washington,DC
baseball,pro,MLB,2025-03-20,Thursday,,Texas Rangers,Colorado Rockies,TBD,Arlington,TX
baseball,pro,MLB,2025-03-20,Thursday,,San Diego Padres,Texas Rangers,TBD,San Diego,CA
baseball,pro,MLB,2025-03-21,Friday,,Tampa Bay Rays,Atlanta Braves,TBD,St. Petersburg,FL
baseball,pro,MLB,2025-03-21,Friday,,St. Louis Cardinals,Houston Astros,TBD,St. Louis,MO
baseball,pro,MLB,2025-03-21,Friday,,Philadelphia Phillies,Minnesota Twins,TBD,Philadelphia,PA
baseball,pro,MLB,2025-03-21,Friday,,Toronto Blue Jays,Philadelphia Phillies,TBD,Toronto,ON
baseball,pro,MLB,2025-03-21,Friday,,New York Mets,St. Louis Cardinals,TBD,New York,NY
baseball,pro,MLB,2025-03-21,Friday,,Los Angeles Angels,Texas Rangers,TBD,Anaheim,CA
baseball,pro,MLB,2025-03-21,Friday,,Athletics,Kansas City Royals,TBD,,
baseball,pro,MLB,2025-03-21,Friday,,Chicago Cubs,San Diego Padres,TBD,Chicago,IL
baseball,pro,MLB,2025-03-21,Friday,,Cincinnati Reds,Chicago White Sox,TBD,Cincinnati,OH
baseball,pro,MLB,2025-03-21,Friday,,Kansas City Royals,Seattle Mariners,TBD,Kansas City,MO
baseball,pro,MLB,2025-03-21,Friday,,San Francisco Giants,Cleveland Guardians,TBD,San Francisco,CA
baseball,pro,MLB,2025-03-21,Friday,,Colorado Rockies,Los Angeles Angels,TBD,Denver,CO
baseball,pro,MLB,2025-03-21,Friday,,Seattle Mariners,Cincinnati Reds,TBD,Seattle,WA
baseball,pro,MLB,2025-03-21,Friday,,Washington Nationals,Miami Marlins,TBD,Washington,DC
baseball,pro,MLB,2025-03-21,Friday,,Detroit Tigers,New York Yankees,TBD,Detroit,MI
baseball,pro,MLB,2025-03-21,Friday,,Boston Red Sox,Pittsburgh Pirates,TBD,Boston,MA
baseball,pro,MLB,2025-03-21,Friday,,Baltimore Orioles,Detroit Tigers,TBD,Baltimore,MD
baseball,pro,MLB,2025-03-21,Friday,,Milwaukee Brewers,Arizona D'Backs,TBD,Milwaukee,WI
baseball,pro,MLB,2025-03-22,Saturday,,Detroit Tigers,Atlanta Braves,TBD,Detroit,MI
baseball,pro,MLB,2025-03-22,Saturday,,Minnesota Twins,Toronto Blue Jays,TBD,Minneapolis,MN
baseball,pro,MLB,2025-03-22,Saturday,,New York Yankees,Philadelphia Phillies,TBD,New York,NY
baseball,pro,MLB,2025-03-22,Saturday,,Pittsburgh Pirates,Baltimore Orioles,TBD,Pittsburgh,PA
baseball,pro,MLB,2025-03-22,Saturday,,Tampa Bay Rays,Boston Red Sox,TBD,St. Petersburg,FL
baseball,pro,MLB,2025-03-22,Saturday,,Miami Marlins,St. Louis Cardinals,TBD,Miami,FL
baseball,pro,MLB,2025-03-22,Saturday,,New York Mets,Washington Nationals,TBD,New York,NY
baseball,pro,MLB,2025-03-22,Saturday,,San Francisco Giants,Arizona D'Backs,TBD,San Francisco,CA
baseball,pro,MLB,2025-03-22,Saturday,,Texas Rangers,Kansas City Royals,TBD,Arlington,TX
baseball,pro,MLB,2025-03-22,Saturday,,Athletics,Milwaukee Brewers,TBD,,
baseball,pro,MLB,2025-03-22,Saturday,,Chicago White Sox,Seattle Mariners,TBD,Chicago,IL
baseball,pro,MLB,2025-03-22,Saturday,,Chicago Cubs,Colorado Rockies,TBD,Chicago,IL
baseball,pro,MLB,2025-03-22,Saturday,,Cleveland Guardians,San Diego Padres,TBD,Cleveland,OH
baseball,pro,MLB,2025-03-22,Saturday,,Colorado Rockies,Chicago White Sox,TBD,Denver,CO
