Sport,Level,League,Date,Day,Time,Home Team,Road Team,City,State
basketball,pro,NBA,2023-10-24,Tuesday,",",Denver Nuggets,Los Angeles Lakers,Denver,CO
basketball,pro,NBA,2023-10-24,Tuesday,",",Golden State Warriors,Phoenix Suns,San Francisco,CA
basketball,pro,NBA,2023-10-25,Wednesday,",",Orlando Magic,Houston Rockets,Orlando,FL
basketball,pro,NBA,2023-10-25,Wednesday,",",New York Knicks,Boston Celtics,New York,NY
basketball,pro,NBA,2023-10-25,Wednesday,",",Indiana Pacers,Washington Wizards,Indianapolis,IN
basketball,pro,NBA,2023-10-25,Wednesday,",",Charlotte Hornets,Atlanta Hawks,Charlotte,NC
basketball,pro,NBA,2023-10-25,Wednesday,",",Miami Heat,Detroit Pistons,Miami,FL
basketball,pro,NBA,2023-10-25,Wednesday,",",Toronto Raptors,Minnesota Timberwolves,Toronto,ON
basketball,pro,NBA,2023-10-25,Wednesday,",",Brooklyn Nets,Cleveland Cavaliers,Brooklyn,NY
basketball,pro,NBA,2023-10-25,Wednesday,",",Memphis Grizzlies,New Orleans Pelicans,Memphis,TN
basketball,pro,NBA,2023-10-25,Wednesday,",",Chicago Bulls,Oklahoma City Thunder,Chicago,IL
basketball,pro,NBA,2023-10-25,Wednesday,",",Utah Jazz,Sacramento Kings,Salt Lake City,UT
basketball,pro,NBA,2023-10-25,Wednesday,",",San Antonio Spurs,Dallas Mavericks,San Antonio,TX
basketball,pro,NBA,2023-10-25,Wednesday,",",Los Angeles Clippers,Portland Trail Blazers,Los Angeles,CA
basketball,pro,NBA,2023-10-26,Thursday,",",Milwaukee Bucks,Philadelphia 76ers,Milwaukee,WI
basketball,pro,NBA,2023-10-26,Thursday,",",Los Angeles Lakers,Phoenix Suns,Los Angeles,CA
basketball,pro,NBA,2023-10-27,Friday,",",Memphis Grizzlies,Denver Nuggets,Memphis,TN
basketball,pro,NBA,2023-10-27,Friday,",",Charlotte Hornets,Detroit Pistons,Charlotte,NC
basketball,pro,NBA,2023-10-27,Friday,",",Atlanta Hawks,New York Knicks,Atlanta,GA
basketball,pro,NBA,2023-10-27,Friday,",",Cleveland Cavaliers,Oklahoma City Thunder,Cleveland,OH
basketball,pro,NBA,2023-10-27,Friday,",",Boston Celtics,Miami Heat,Boston,MA
basketball,pro,NBA,2023-10-27,Friday,",",Chicago Bulls,Toronto Raptors,Chicago,IL
basketball,pro,NBA,2023-10-27,Friday,",",San Antonio Spurs,Houston Rockets,San Antonio,TX
basketball,pro,NBA,2023-10-27,Friday,",",Dallas Mavericks,Brooklyn Nets,Dallas,TX
basketball,pro,NBA,2023-10-27,Friday,",",Utah Jazz,Los Angeles Clippers,Salt Lake City,UT
basketball,pro,NBA,2023-10-27,Friday,",",Portland Trail Blazers,Orlando Magic,Portland,OR
basketball,pro,NBA,2023-10-27,Friday,",",Sacramento Kings,Golden State Warriors,Sacramento,CA
basketball,pro,NBA,2023-10-28,Saturday,",",Detroit Pistons,Chicago Bulls,Detroit,MI
basketball,pro,NBA,2023-10-28,Saturday,",",Washington Wizards,Memphis Grizzlies,Washington,DC
basketball,pro,NBA,2023-10-28,Saturday,",",New Orleans Pelicans,New York Knicks,New Orleans,LA
basketball,pro,NBA,2023-10-28,Saturday,",",Cleveland Cavaliers,Indiana Pacers,Cleveland,OH
basketball,pro,NBA,2023-10-28,Saturday,",",Toronto Raptors,Philadelphia 76ers,Toronto,ON
basketball,pro,NBA,2023-10-28,Saturday,",",Minnesota Timberwolves,Miami Heat,Minneapolis,MN
basketball,pro,NBA,2023-10-28,Saturday,",",Phoenix Suns,Utah Jazz,Phoenix,AZ
basketball,pro,NBA,2023-10-29,Sunday,",",Oklahoma City Thunder,Denver Nuggets,Oklahoma City,OK
basketball,pro,NBA,2023-10-29,Sunday,",",Houston Rockets,Golden State Warriors,Houston,TX
basketball,pro,NBA,2023-10-29,Sunday,",",Milwaukee Bucks,Atlanta Hawks,Milwaukee,WI
basketball,pro,NBA,2023-10-29,Sunday,",",Philadelphia 76ers,Portland Trail Blazers,Philadelphia,PA
basketball,pro,NBA,2023-10-29,Sunday,",",Los Angeles Clippers,San Antonio Spurs,Los Angeles,CA
basketball,pro,NBA,2023-10-29,Sunday,",",Sacramento Kings,Los Angeles Lakers,Sacramento,CA
basketball,pro,NBA,2023-10-30,Monday,",",Indiana Pacers,Chicago Bulls,Indianapolis,IN
basketball,pro,NBA,2023-10-30,Monday,",",Washington Wizards,Boston Celtics,Washington,DC
basketball,pro,NBA,2023-10-30,Monday,",",Charlotte Hornets,Brooklyn Nets,Charlotte,NC
basketball,pro,NBA,2023-10-30,Monday,",",Toronto Raptors,Portland Trail Blazers,Toronto,ON
basketball,pro,NBA,2023-10-30,Monday,",",Atlanta Hawks,Minnesota Timberwolves,Atlanta,GA
basketball,pro,NBA,2023-10-30,Monday,",",Memphis Grizzlies,Dallas Mavericks,Memphis,TN
basketball,pro,NBA,2023-10-30,Monday,",",Milwaukee Bucks,Miami Heat,Milwaukee,WI
basketball,pro,NBA,2023-10-30,Monday,",",New Orleans Pelicans,Golden State Warriors,New Orleans,LA
basketball,pro,NBA,2023-10-30,Monday,",",Oklahoma City Thunder,Detroit Pistons,Oklahoma City,OK
basketball,pro,NBA,2023-10-30,Monday,",",Denver Nuggets,Utah Jazz,Denver,CO
basketball,pro,NBA,2023-10-30,Monday,",",Los Angeles Lakers,Orlando Magic,Los Angeles,CA
basketball,pro,NBA,2023-10-31,Tuesday,",",Cleveland Cavaliers,New York Knicks,Cleveland,OH
basketball,pro,NBA,2023-10-31,Tuesday,",",Phoenix Suns,San Antonio Spurs,Phoenix,AZ
basketball,pro,NBA,2023-10-31,Tuesday,",",Los Angeles Clippers,Orlando Magic,Los Angeles,CA
basketball,pro,NBA,2023-11-01,Wednesday,",",Detroit Pistons,Portland Trail Blazers,Detroit,MI
basketball,pro,NBA,2023-11-01,Wednesday,",",Toronto Raptors,Milwaukee Bucks,Toronto,ON
basketball,pro,NBA,2023-11-01,Wednesday,",",Atlanta Hawks,Washington Wizards,Atlanta,GA
basketball,pro,NBA,2023-11-01,Wednesday,",",Boston Celtics,Indiana Pacers,Boston,MA
basketball,pro,NBA,2023-11-01,Wednesday,",",Miami Heat,Brooklyn Nets,Miami,FL
basketball,pro,NBA,2023-11-01,Wednesday,",",New York Knicks,Cleveland Cavaliers,New York,NY
basketball,pro,NBA,2023-11-01,Wednesday,",",Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City,OK
basketball,pro,NBA,2023-11-01,Wednesday,",",Houston Rockets,Charlotte Hornets,Houston,TX
basketball,pro,NBA,2023-11-01,Wednesday,",",Minnesota Timberwolves,Denver Nuggets,Minneapolis,MN
basketball,pro,NBA,2023-11-01,Wednesday,",",Dallas Mavericks,Chicago Bulls,Dallas,TX
basketball,pro,NBA,2023-11-01,Wednesday,",",Utah Jazz,Memphis Grizzlies,Salt Lake City,UT
basketball,pro,NBA,2023-11-01,Wednesday,",",Golden State Warriors,Sacramento Kings,San Francisco,CA
basketball,pro,NBA,2023-11-01,Wednesday,",",Los Angeles Lakers,Los Angeles Clippers,Los Angeles,CA
basketball,pro,NBA,2023-11-02,Thursday,",",Philadelphia 76ers,Toronto Raptors,Philadelphia,PA
basketball,pro,NBA,2023-11-02,Thursday,",",New Orleans Pelicans,Detroit Pistons,New Orleans,LA
basketball,pro,NBA,2023-11-02,Thursday,",",Utah Jazz,Orlando Magic,Salt Lake City,UT
basketball,pro,NBA,2023-11-02,Thursday,",",Phoenix Suns,San Antonio Spurs,Phoenix,AZ
basketball,pro,NBA,2023-11-03,Friday,",",Indiana Pacers,Cleveland Cavaliers,Indianapolis,IN
basketball,pro,NBA,2023-11-03,Friday,",",Milwaukee Bucks,New York Knicks,Milwaukee,WI
basketball,pro,NBA,2023-11-03,Friday,",",Chicago Bulls,Brooklyn Nets,Chicago,IL
basketball,pro,NBA,2023-11-03,Friday,",",Miami Heat,Washington Wizards,Miami,FL
basketball,pro,NBA,2023-11-03,Friday,",",Oklahoma City Thunder,Golden State Warriors,Oklahoma City,OK
basketball,pro,NBA,2023-11-03,Friday,",",Denver Nuggets,Dallas Mavericks,Denver,CO
basketball,pro,NBA,2023-11-03,Friday,",",Portland Trail Blazers,Memphis Grizzlies,Portland,OR
basketball,pro,NBA,2023-11-04,Saturday,",",Philadelphia 76ers,Phoenix Suns,Philadelphia,PA
basketball,pro,NBA,2023-11-04,Saturday,",",Indiana Pacers,Charlotte Hornets,Indianapolis,IN
