sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
basketball,pro,NBA,2025-10-21,Tuesday,,Oklahoma City Thunder,Houston Rockets,Paycom Center,Oklahoma City,OK
basketball,pro,NBA,2025-10-21,Tuesday,,Los Angeles Lakers,Golden State Warriors,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2025-10-22,Wednesday,,Charlotte Hornets,Brooklyn Nets,Spectrum Center,Charlotte,NC
basketball,pro,NBA,2025-10-22,Wednesday,,New York Knicks,Cleveland Cavaliers,Madison Square Garden (IV),New York,NY
basketball,pro,NBA,2025-10-22,Wednesday,,Orlando Magic,Miami Heat,Kia Center,Orlando,FL
basketball,pro,NBA,2025-10-22,Wednesday,,Boston Celtics,Philadelphia 76ers,TD Garden,Boston,MA
basketball,pro,NBA,2025-10-22,Wednesday,,Atlanta Hawks,Toronto Raptors,State Farm Arena,Atlanta,GA
basketball,pro,NBA,2025-10-22,Wednesday,,Chicago Bulls,Detroit Pistons,United Center,Chicago,IL
basketball,pro,NBA,2025-10-22,Wednesday,,Memphis Grizzlies,New Orleans Pelicans,FedExForum,Memphis,TN
basketball,pro,NBA,2025-10-22,Wednesday,,Milwaukee Bucks,Washington Wizards,Fiserv Forum,Milwaukee,WI
basketball,pro,NBA,2025-10-22,Wednesday,,Utah Jazz,Los Angeles Clippers,Delta Center,Salt Lake City,UT
basketball,pro,NBA,2025-10-22,Wednesday,,Dallas Mavericks,San Antonio Spurs,American Airlines Center,Dallas,TX
basketball,pro,NBA,2025-10-22,Wednesday,,Portland Trail Blazers,Minnesota Timberwolves,Moda Center,Portland,OR
basketball,pro,NBA,2025-10-22,Wednesday,,Phoenix Suns,Sacramento Kings,PHX Arena,Phoenix,AZ
basketball,pro,NBA,2025-10-23,Thursday,,Indiana Pacers,Oklahoma City Thunder,Gainbridge Fieldhouse,Indianapolis,IN
basketball,pro,NBA,2025-10-23,Thursday,,Golden State Warriors,Denver Nuggets,Chase Center,San Francisco,CA
basketball,pro,NBA,2025-10-24,Friday,,Orlando Magic,Atlanta Hawks,Kia Center,Orlando,FL
basketball,pro,NBA,2025-10-24,Friday,,Brooklyn Nets,Cleveland Cavaliers,Barclays Center,Brooklyn,NY
basketball,pro,NBA,2025-10-24,Friday,,Toronto Raptors,Milwaukee Bucks,Scotiabank Arena,Toronto,ON
basketball,pro,NBA,2025-10-24,Friday,,New York Knicks,Boston Celtics,Madison Square Garden (IV),New York,NY
basketball,pro,NBA,2025-10-24,Friday,,Houston Rockets,Detroit Pistons,Toyota Center,Houston,TX
basketball,pro,NBA,2025-10-24,Friday,,New Orleans Pelicans,San Antonio Spurs,Smoothie King Center,New Orleans,LA
basketball,pro,NBA,2025-10-24,Friday,,Memphis Grizzlies,Miami Heat,FedExForum,Memphis,TN
basketball,pro,NBA,2025-10-24,Friday,,Dallas Mavericks,Washington Wizards,American Airlines Center,Dallas,TX
basketball,pro,NBA,2025-10-24,Friday,,Los Angeles Lakers,Minnesota Timberwolves,Crypto.com Arena,Los Angeles,CA
basketball,pro,NBA,2025-10-24,Friday,,Portland Trail Blazers,Golden State Warriors,Moda Center,Portland,OR
basketball,pro,NBA,2025-10-24,Friday,,Sacramento Kings,Utah Jazz,Golden 1 Center,Sacramento,CA
basketball,pro,NBA,2025-10-24,Friday,,Los Angeles Clippers,Phoenix Suns,Intuit Dome,Los Angeles,CA
basketball,pro,NBA,2025-10-25,Saturday,,Orlando Magic,Chicago Bulls,Kia Center,Orlando,FL
basketball,pro,NBA,2025-10-25,Saturday,,Atlanta Hawks,Oklahoma City Thunder,State Farm Arena,Atlanta,GA
basketball,pro,NBA,2025-10-25,Saturday,,Philadelphia 76ers,Charlotte Hornets,Xfinity Mobile Arena,Philadelphia,PA
basketball,pro,NBA,2025-10-25,Saturday,,Memphis Grizzlies,Indiana Pacers,FedExForum,Memphis,TN
basketball,pro,NBA,2025-10-25,Saturday,,Denver Nuggets,Phoenix Suns,Ball Arena,Denver,CO
basketball,pro,NBA,2025-10-26,Sunday,,San Antonio Spurs,Brooklyn Nets,Frost Bank Center,San Antonio,TX
