sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
basketball,college,ncaab,2024-12-03,Tuesday,19:00:00,Boston College,South Carolina,Conte Forum,Chestnut Hill,MA
basketball,college,ncaab,2024-11-08,Friday,18:00:00,Boston College,VCU,"Annapolis, Md.",Chestnut Hill,MA
basketball,college,ncaab,2024-11-24,Sunday,19:30:00,Boston College,Old Dominion,"George Town, Grand Cayman Island",Chestnut Hill,MA
basketball,college,ncaab,2024-11-04,Monday,20:00:00,Boston College,The Citadel,Conte Forum,Chestnut Hill,MA
basketball,college,ncaab,2024-11-15,Friday,19:00:00,Boston College,Temple,Conte Forum,Chestnut Hill,MA
basketball,college,ncaab,2024-11-19,Tuesday,18:00:00,Boston College,Loyola (Md.),Conte Forum,Chestnut Hill,MA
basketball,college,ncaab,2024-11-29,Friday,12:00:00,Boston College,Dartmouth,Conte Forum,Chestnut Hill,MA
basketball,college,ncaab,2024-12-15,Sunday,16:00:00,Boston College,Stonehill,Conte Forum,Chestnut Hill,MA
basketball,college,ncaab,2024-12-28,Saturday,14:00:00,Boston College,FDU,Conte Forum,Chestnut Hill,MA
basketball,college,ncaab,2024-12-07,Saturday,12:00:00,Wake Forest,Boston College,"Winston-Salem, NC",Winston-Salem,NC
basketball,college,ncaab,2024-12-21,Saturday,12:00:00,Boston College,SMU,Conte Forum,Chestnut Hill,MA
basketball,college,ncaab,2025-01-01,Wednesday,00:00:00,Boston College,Miami,Conte Forum,Chestnut Hill,MA
basketball,college,ncaab,2025-01-04,Saturday,12:00:00,Georgia Tech,Boston College,"Atlanta, Ga.",Atlanta,GA
basketball,college,ncaab,2025-01-11,Saturday,15:00:00,Boston College,Syracuse,Conte Forum,Chestnut Hill,MA
basketball,college,ncaab,2025-01-13,Monday,19:00:00,Notre Dame,Boston College,"South Bend, Ind.",Notre Dame,IN
basketball,college,ncaab,2025-01-18,Saturday,00:00:00,Boston College,Duke,Conte Forum,Chestnut Hill,MA
basketball,college,ncaab,2025-01-21,Tuesday,19:00:00,Virginia,Boston College,"Charlottesville, VA",Charlottesville,VA
basketball,college,ncaab,2025-01-25,Saturday,14:15:00,North Carolina,Boston College,"Chapel Hill, NC",Chapel Hill,NC
basketball,college,ncaab,2025-02-01,Saturday,14:00:00,Boston College,Florida State,Conte Forum,Chestnut Hill,MA
basketball,college,ncaab,2025-02-05,Wednesday,19:00:00,Boston College,Louisville,Conte Forum,Chestnut Hill,MA
basketball,college,ncaab,2025-02-08,Saturday,15:15:00,Syracuse,Boston College,"Syracuse, NY",Syracuse,NY
basketball,college,ncaab,2025-02-12,Wednesday,21:00:00,Boston College,Notre Dame,Conte Forum,Chestnut Hill,MA
basketball,college,ncaab,2025-02-15,Saturday,14:00:00,NC State,Boston College,"Raleigh, NC",Raleigh,NC
basketball,college,ncaab,2025-02-18,Tuesday,21:00:00,Boston College,Virginia Tech,Conte Forum,Chestnut Hill,MA
basketball,college,ncaab,2025-02-22,Saturday,14:00:00,Boston College,Georgia Tech,Conte Forum,Chestnut Hill,MA
basketball,college,ncaab,2025-02-26,Wednesday,21:00:00,Stanford,Boston College,"Stanford, CA",Stanford,CA
basketball,college,ncaab,2025-03-01,Saturday,22:00:00,California,Boston College,"Berkeley, CA",Berkeley,CA
basketball,college,ncaab,2025-03-05,Wednesday,19:00:00,Boston College,Clemson,Conte Forum,Chestnut Hill,MA
basketball,college,ncaab,2025-03-08,Saturday,18:00:00,Pittsburgh,Boston College,"Pittsburgh, PA",Pittsburgh,PA
basketball,college,ncaab,2025-03-11,Tuesday,00:00:00,Boston College,TBA,Spectrum Center,Chestnut Hill,MA
