sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
basketball,college,ncaab,2024-11-04,Monday,17:00:00,Harvard University,Marist College,Lavietes Pavilion,Cambridge,MA
basketball,college,ncaab,2024-11-08,Friday,20:30:00,Navy,Harvard University,"Annapolis, MD",Annapolis,MD
basketball,college,ncaab,2024-11-10,Sunday,14:00:00,American University,Harvard University,"Washington, DC",Washington,DC
basketball,college,ncaab,2024-11-13,Wednesday,19:00:00,Northeastern University,Harvard University,"Boston, MA",Boston,MA
basketball,college,ncaab,2024-11-17,Sunday,14:00:00,University of Colorado,Harvard University,"Boulder, CO",Boulder,CO
basketball,college,ncaab,2024-11-22,Friday,19:00:00,Harvard University,Colgate University,Lavietes Pavilion,Cambridge,MA
basketball,college,ncaab,2024-11-27,Wednesday,16:00:00,Harvard University,University of Massachusetts,Lavietes Pavilion,Cambridge,MA
basketball,college,ncaab,2024-11-30,Saturday,17:00:00,St. John's University,Harvard University,"Queens, NY",Queens,NY
basketball,college,ncaab,2024-12-04,Wednesday,18:00:00,Holy Cross,Harvard University,"Worcester, MA",Worcester,MA
basketball,college,ncaab,2024-12-21,Saturday,15:00:00,Harvard University,Furman University,Lavietes Pavilion,Cambridge,MA
basketball,college,ncaab,2024-12-29,Sunday,13:00:00,Iona University,Harvard University,"New Rochelle, NY",New Rochelle,NY
basketball,college,ncaab,2025-01-11,Saturday,14:00:00,Harvard University,Princeton University,Lavietes Pavilion,Cambridge,MA
basketball,college,ncaab,2025-01-18,Saturday,14:00:00,Brown University,Harvard University,"Providence, RI",Providence,RI
basketball,college,ncaab,2025-01-20,Monday,14:00:00,Harvard University,University of Pennsylvania,Lavietes Pavilion,Cambridge,MA
basketball,college,ncaab,2025-01-25,Saturday,14:00:00,Yale University,Harvard University,"New Haven, CT",New Haven,CT
basketball,college,ncaab,2025-01-31,Friday,19:00:00,Columbia University,Harvard University,"New York, NY",New York,NY
basketball,college,ncaab,2025-02-01,Saturday,18:00:00,Cornell University,Harvard University,"Ithaca, NY",Ithaca,NY
basketball,college,ncaab,2025-02-08,Saturday,14:00:00,Dartmouth College,Harvard University,"Hanover, NH",Hanover,NH
basketball,college,ncaab,2025-02-14,Friday,19:00:00,Harvard University,Cornell University,Lavietes Pavilion,Cambridge,MA
basketball,college,ncaab,2025-02-15,Saturday,18:00:00,Harvard University,Columbia University,Lavietes Pavilion,Cambridge,MA
basketball,college,ncaab,2025-02-21,Friday,19:00:00,Princeton University,Harvard University,"Princeton, NJ",Princeton,NJ
basketball,college,ncaab,2025-02-22,Saturday,18:00:00,University of Pennsylvania,Harvard University,"Philadelphia, PA",Philadelphia,PA
basketball,college,ncaab,2025-02-28,Friday,17:00:00,Harvard University,Brown University,Lavietes Pavilion,Cambridge,MA
basketball,college,ncaab,2025-03-01,Saturday,16:00:00,Harvard University,Yale University,Lavietes Pavilion,Cambridge,MA
basketball,college,ncaab,2025-03-08,Saturday,14:00:00,Harvard University,Dartmouth College,Lavietes Pavilion,Cambridge,MA
basketball,college,ncaab,2025-03-15,Saturday,00:00:00,Harvard University,Ivy League Tournament,"Providence, RI",Cambridge,MA
basketball,college,ncaab,2025-03-16,Sunday,00:00:00,Harvard University,Ivy League Tournament,"Providence, RI",Cambridge,MA
basketball,college,ncaab,2025-03-18,Tuesday,00:00:00,Harvard University,NCAA First Four,"Dayton, OH",Cambridge,MA
basketball,college,ncaab,2025-03-20,Thursday,00:00:00,Harvard University,NCAA First Round,TBD,Cambridge,MA
basketball,college,ncaab,2025-03-22,Saturday,00:00:00,Harvard University,NCAA Second Round,TBD,Cambridge,MA
basketball,college,ncaab,2025-03-27,Thursday,00:00:00,Harvard University,NCAA Sweet 16,TBD,Cambridge,MA
basketball,college,ncaab,2025-03-29,Saturday,00:00:00,Harvard University,NCAA Elite Eight,TBD,Cambridge,MA
basketball,college,ncaab,2025-04-05,Saturday,00:00:00,Harvard University,NCAA Final Four,"San Antonio, TX",Cambridge,MA
basketball,college,ncaab,2025-04-07,Monday,00:00:00,Harvard University,NCAA Championship,"San Antonio, TX",Cambridge,MA
basketball,college,ncaab,2024-12-08,Sunday,13:00:00,University of New Hampshire,Harvard University,"Durham, NH",Durham,NH
basketball,college,ncaab,2025-01-05,Sunday,14:00:00,Harvard University,Bowdoin College,Lavietes Pavilion,Cambridge,MA
basketball,college,ncaab,2024-10-18,Friday,17:30:00,Harvard University,Crimson Madness,Lavietes Pavilion,Cambridge,MA
