sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
basketball,college,ncaab,2023-10-21,Saturday,18:00:00,Monmouth University,Rhode Island College (exhibition),"OceanFirst Bank Center - West Long Branch, NJ",,
basketball,college,ncaab,2023-11-06,Monday,19:00:00,George Mason,Monmouth University,"EagleBank Arena - Fairfax, VA",Fairfax,VA
basketball,college,ncaab,2023-11-10,Friday,19:00:00,West Virginia,Monmouth University,"WVU Coliseum - Morgantown, WV",Morgantown,WV
basketball,college,ncaab,2023-11-18,Saturday,14:00:00,Monmouth University,Princeton,"OceanFirst Bank Center - West Long Branch, NJ",,
basketball,college,ncaab,2023-11-21,Tuesday,19:00:00,Monmouth University,Lehigh,"OceanFirst Bank Center - West Long Branch, NJ",,
basketball,college,ncaab,2023-11-24,Friday,14:00:00,Monmouth University,Belmont,"The Palestra - Philadelphia, PA",,
basketball,college,ncaab,2023-11-25,Saturday,14:00:00,Monmouth University,Lafayette,"The Palestra - Philadelphia, PA",,
basketball,college,ncaab,2023-11-26,Sunday,14:30:00,Penn,Monmouth University,"The Palestra - Philadelphia, PA",Philadelphia,PA
basketball,college,ncaab,2023-11-29,Wednesday,19:00:00,Cornell,Monmouth University,"Newman Arena - Ithaca, NY",Ithaca,NY
basketball,college,ncaab,2023-12-09,Saturday,14:00:00,Monmouth University,Northern Illinois,"OceanFirst Bank Center - West Long Branch, NJ",,
basketball,college,ncaab,2023-12-12,Tuesday,18:30:00,Seton Hall,Monmouth University,"Prudential Center - Newark, NJ",South Orange,NJ
basketball,college,ncaab,2023-12-16,Saturday,14:00:00,Monmouth University,Rider,"OceanFirst Bank Center - West Long Branch, NJ",,
basketball,college,ncaab,2023-12-21,Thursday,14:00:00,Monmouth University,Manhattan,"OceanFirst Bank Center - West Long Branch, NJ",,
basketball,college,ncaab,2023-12-31,Sunday,14:00:00,Oklahoma,Monmouth University,"Lloyd Noble Center - Norman, OK",,
basketball,college,ncaab,2024-01-04,Thursday,19:00:00,Monmouth University,Towson,"OceanFirst Bank Center - West Long Branch, NJ",,
basketball,college,ncaab,2024-01-08,Monday,19:00:00,Monmouth University,Northeastern,"OceanFirst Bank Center - West Long Branch, NJ",,
basketball,college,ncaab,2024-01-11,Thursday,19:00:00,UNC Wilmington,Monmouth University,"Trask Coliseum - Wilmington, NC",,
basketball,college,ncaab,2024-01-13,Saturday,16:30:00,College of Charleston,Monmouth University,"TD Arena - Charleston, SC",,
basketball,college,ncaab,2024-01-18,Thursday,19:00:00,Drexel,Monmouth University,"Daskalakis Athletic Center - Philadelphia, PA",Philadelphia,PA
basketball,college,ncaab,2024-01-20,Saturday,14:00:00,Monmouth University,Hampton,"OceanFirst Bank Center - West Long Branch, NJ",,
basketball,college,ncaab,2024-01-25,Thursday,18:30:00,Stony Brook,Monmouth University,"Island Federal Credit Union Arena - Stony Brook, NY",Stony Brook,NY
basketball,college,ncaab,2024-01-27,Saturday,14:00:00,Monmouth University,Hofstra,"OceanFirst Bank Center - West Long Branch, NJ",,
basketball,college,ncaab,2024-02-01,Thursday,19:00:00,Monmouth University,Drexel,"OceanFirst Bank Center - West Long Branch, NJ",,
basketball,college,ncaab,2024-02-03,Saturday,14:00:00,Delaware,Monmouth University,"Bob Carpenter Center - Newark, DE",Newark,DE
basketball,college,ncaab,2024-02-08,Thursday,19:00:00,Monmouth University,William & Mary,"OceanFirst Bank Center - West Long Branch, NJ",,
basketball,college,ncaab,2024-02-10,Saturday,13:00:00,Northeastern,Monmouth University,"Matthews Arena - Boston, MA",Boston,MA
basketball,college,ncaab,2024-02-15,Thursday,19:00:00,Monmouth University,Campbell,"OceanFirst Bank Center - West Long Branch, NJ",,
basketball,college,ncaab,2024-02-17,Saturday,16:00:00,Monmouth University,Stony Brook,"OceanFirst Bank Center - West Long Branch, NJ",,
basketball,college,ncaab,2024-02-22,Thursday,19:00:00,Towson,Monmouth University,"TU Arena - Towson, MD",Towson,MD
basketball,college,ncaab,2024-02-24,Saturday,14:00:00,Monmouth University,North Carolina A&T,"OceanFirst Bank Center - West Long Branch, NJ",,
basketball,college,ncaab,2024-02-29,Thursday,19:00:00,Hampton,Monmouth University,"Convocation Center - Hampton, VA",,
basketball,college,ncaab,2024-03-02,Saturday,13:00:00,Elon,Monmouth University,"Schar Center - Elon, NC",Elon,NC
