sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
basketball,college,ncaab,2023-11-24,Friday,16:30:00,University of Pennsylvania,Lafayette,The Palestra,Philadelphia,PA
basketball,college,ncaab,2023-11-25,Saturday,16:30:00,University of Pennsylvania,Belmont,The Palestra,Philadelphia,PA
basketball,college,ncaab,2023-11-26,Sunday,14:30:00,University of Pennsylvania,Monmouth,The Palestra,Philadelphia,PA
basketball,college,ncaab,2023-11-10,Friday,18:30:00,Saint Joseph's,University of Pennsylvania,"Philadelphia, Pa.",Philadelphia,PA
basketball,college,ncaab,2023-11-13,Monday,19:00:00,University of Pennsylvania,Villanova,The Palestra,Philadelphia,PA
basketball,college,ncaab,2023-12-02,Saturday,16:45:00,University of Pennsylvania,La Salle,Wells Fargo Center,Philadelphia,PA
basketball,college,ncaab,2023-11-06,Monday,18:00:00,University of Pennsylvania,John Jay College,The Palestra,Philadelphia,PA
basketball,college,ncaab,2023-11-08,Wednesday,19:00:00,University of Pennsylvania,Bucknell,The Palestra,Philadelphia,PA
basketball,college,ncaab,2023-11-18,Saturday,16:00:00,Maryland Eastern Shore,University of Pennsylvania,"Princess Anne, Md.",Princess Anne,MD
basketball,college,ncaab,2023-12-06,Wednesday,18:00:00,University of Pennsylvania,FDU-Florham,The Palestra,Philadelphia,PA
basketball,college,ncaab,2023-12-09,Saturday,12:00:00,University of Pennsylvania,Kentucky,Wells Fargo Center,Philadelphia,PA
basketball,college,ncaab,2023-12-11,Monday,19:00:00,University of Pennsylvania,Howard,The Palestra,Philadelphia,PA
basketball,college,ncaab,2023-12-23,Saturday,13:00:00,Rider,University of Pennsylvania,"Lawrenceville, N.J.",Lawrenceville,NJ
basketball,college,ncaab,2023-12-30,Saturday,19:00:00,Houston,University of Pennsylvania,"Houston, Texas",Houston,TX
basketball,college,ncaab,2024-01-02,Tuesday,21:00:00,Auburn,University of Pennsylvania,"Auburn, Ala.",Auburn,AL
basketball,college,ncaab,2024-01-06,Saturday,14:00:00,University of Pennsylvania,Dartmouth,The Palestra,Philadelphia,PA
basketball,college,ncaab,2024-01-15,Monday,14:00:00,Cornell,University of Pennsylvania,"Ithaca, N.Y.",Ithaca,NY
basketball,college,ncaab,2024-01-20,Saturday,18:00:00,University of Pennsylvania,Harvard,The Palestra,Philadelphia,PA
basketball,college,ncaab,2024-01-27,Saturday,14:00:00,Columbia,University of Pennsylvania,"New York, N.Y.",New York,NY
basketball,college,ncaab,2024-02-02,Friday,19:00:00,Brown,University of Pennsylvania,"Providence, R.I.",Providence,RI
basketball,college,ncaab,2024-02-03,Saturday,19:00:00,Yale,University of Pennsylvania,"New Haven, Conn.",New Haven,CT
basketball,college,ncaab,2024-02-10,Saturday,17:00:00,Princeton,University of Pennsylvania,"Princeton, N.J.",Princeton,NJ
basketball,college,ncaab,2024-02-16,Friday,19:00:00,University of Pennsylvania,Yale,The Palestra,Philadelphia,PA
basketball,college,ncaab,2024-02-17,Saturday,18:00:00,University of Pennsylvania,Brown,The Palestra,Philadelphia,PA
basketball,college,ncaab,2024-02-23,Friday,19:00:00,Dartmouth,University of Pennsylvania,"Hanover, N.H.",Hanover,NH
basketball,college,ncaab,2024-02-24,Saturday,19:00:00,Harvard,University of Pennsylvania,"Cambridge, Mass.",Cambridge,MA
basketball,college,ncaab,2024-03-01,Friday,20:00:00,University of Pennsylvania,Cornell,The Palestra,Philadelphia,PA
basketball,college,ncaab,2024-03-02,Saturday,19:00:00,University of Pennsylvania,Columbia,The Palestra,Philadelphia,PA
basketball,college,ncaab,2024-03-09,Saturday,18:00:00,University of Pennsylvania,Princeton,The Palestra,Philadelphia,PA
