sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
basketball,college,ncaab,2024-10-28,Monday,4 p.m.,NJIT,Seton Hall University,"Newark, NJ",Newark,NJ
basketball,college,ncaab,2024-11-06,Wednesday,7:30 PM,Seton Hall University,Saint Peter's,"Newark, N.J. (Prudential Center)",South Orange,NJ
basketball,college,ncaab,2024-11-11,Monday,4 PM,Seton Hall University,FDU,"South Orange, N.J. (Walsh Gymnasium)",South Orange,NJ
basketball,college,ncaab,2024-11-15,Friday,6:30 PM,Seton Hall University,Albany,"Newark, N.J. (Prudential Center)",South Orange,NJ
basketball,college,ncaab,2024-11-18,Monday,12 PM,Seton Hall University,Wagner,"Newark, N.J. (Prudential Center)",South Orange,NJ
basketball,college,ncaab,2024-11-23,Saturday,5:30 PM,Seton Hall University,USC,"San Diego, CA (LionTree Arena)",South Orange,NJ
basketball,college,ncaab,2024-11-24,Sunday,6 p.m.,Seton Hall University,Iowa,"San Diego, CA (LionTree Arena)",South Orange,NJ
basketball,college,ncaab,2024-11-29,Friday,6:30 PM,Seton Hall University,Northeastern,"Newark, N.J. (Prudential Center)",South Orange,NJ
basketball,college,ncaab,2024-12-05,Thursday,9 PM,Baylor,Seton Hall University,"Waco, TX",Waco,TX
basketball,college,ncaab,2024-12-09,Monday,8:30 PM,Seton Hall University,Rutgers,"Newark, N.J. (Prudential Center)",South Orange,NJ
basketball,college,ncaab,2024-12-12,Thursday,6:30 PM,Seton Hall University,Monmouth,"Newark, N.J. (Prudential Center)",South Orange,NJ
basketball,college,ncaab,2024-12-17,Tuesday,5 P.M.,Seton Hall University,Missouri,"Kansas City, MO",South Orange,NJ
basketball,college,ncaab,2024-12-20,Friday,7 PM,Seton Hall University,UConn,"Newark, N.J. (Prudential Center)",South Orange,NJ
basketball,college,ncaab,2024-12-23,Monday,2 PM,Xavier,Seton Hall University,"Cincinnati, OH",Cincinnati,OH
basketball,college,ncaab,2025-01-03,Friday,6:30 PM,Providence,Seton Hall University,"Providence, RI",Providence,RI
basketball,college,ncaab,2025-01-06,Monday,12 PM,Seton Hall University,Marquette,"Newark, N.J. (Prudential Center)",South Orange,NJ
basketball,college,ncaab,2025-01-09,Thursday,6:30 PM,Georgetown,Seton Hall University,"Washington, DC",Washington,DC
basketball,college,ncaab,2025-01-13,Monday,12 PM,Butler,Seton Hall University,"Indianapolis, IN",Indianapolis,IN
basketball,college,ncaab,2025-01-16,Thursday,8:30 PM,Seton Hall University,St. John's,"Newark, N.J. (Prudential Center)",South Orange,NJ
basketball,college,ncaab,2025-01-20,Monday,12 PM,Seton Hall University,Creighton,"Newark, N.J. (Prudential Center)",South Orange,NJ
basketball,college,ncaab,2025-01-24,Friday,6:30 PM,Seton Hall University,Providence,"Newark, N.J. (Prudential Center)",South Orange,NJ
basketball,college,ncaab,2025-01-27,Monday,1 PM,Marquette,Seton Hall University,"Milwaukee, WI",Milwaukee,WI
basketball,college,ncaab,2025-01-30,Thursday,9 PM,DePaul,Seton Hall University,"Chicago, IL",Chicago,IL
basketball,college,ncaab,2025-02-07,Friday,6:30 PM,Seton Hall University,Georgetown,"Newark, N.J. (Prudential Center)",South Orange,NJ
basketball,college,ncaab,2025-02-11,Tuesday,12 PM,Villanova,Seton Hall University,"Philadelphia, PA",Villanova,PA
basketball,college,ncaab,2025-02-14,Friday,7 PM,Seton Hall University,Xavier,"Newark, N.J. (Prudential Center)",South Orange,NJ
basketball,college,ncaab,2025-02-18,Tuesday,5 PM,St. John's,Seton Hall University,"Elmont, NY",Queens,NY
basketball,college,ncaab,2025-02-24,Monday,8:30 PM,Seton Hall University,Butler,"Newark, N.J. (Prudential Center)",South Orange,NJ
basketball,college,ncaab,2025-02-28,Friday,9 PM,Creighton,Seton Hall University,"Omaha, NE",Omaha,NE
basketball,college,ncaab,2025-03-03,Monday,12 PM,UConn,Seton Hall University,"Storrs, Conn.",Storrs,CT
basketball,college,ncaab,2025-03-06,Thursday,6:30 PM,Seton Hall University,Villanova,"Newark, N.J. (Prudential Center)",South Orange,NJ
basketball,college,ncaab,2025-03-09,Sunday,8:30 PM,Seton Hall University,DePaul,"Newark, N.J. (Prudential Center)",South Orange,NJ
basketball,college,ncaab,2025-03-14,Friday,2:30 p.m.,St. John's,Seton Hall University,"New York, N.Y. (MSG)",Queens,NY
basketball,college,ncaab,2025-03-20,Thursday,7 PM,Seton Hall University,Saint Joseph's,"South Orange, NJ (Walsh Gymnasium)",South Orange,NJ
basketball,college,ncaab,2025-03-23,Sunday,11:30 AM,Seton Hall University,North Texas,"South Orange, NJ (Walsh Gymnasium)",South Orange,NJ
basketball,college,ncaab,2025-03-27,Thursday,7 p.m.,Seton Hall University,UNLV,"South Orange, NJ (Walsh Gymnasium)",South Orange,NJ
basketball,college,ncaab,2025-04-02,Wednesday,9:30 PM,Seton Hall University,Georgia,"Indianapolis, Ind. (Hinkle Fieldhouse)",South Orange,NJ
basketball,college,ncaab,2025-04-04,Friday,7 p.m.,Seton Hall University,Indiana State,"Indianapolis, Ind.",South Orange,NJ
