sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
basketball,college,ncaab,2025-01-03,Friday,19:00:00,Wagner College,Chicago State,Spiro Sports Center,Staten Island,NY
basketball,college,ncaab,2025-01-05,Sunday,13:00:00,Wagner College,FDU,Spiro Sports Center,Staten Island,NY
basketball,college,ncaab,2025-01-10,Friday,19:00:00,Central Connecticut State,Wagner College,"New Britain, Conn.",New Britain,CT
basketball,college,ncaab,2025-01-18,Saturday,13:00:00,Wagner College,Mercyhurst,Spiro Sports Center,Staten Island,NY
basketball,college,ncaab,2025-01-20,Monday,13:00:00,Wagner College,Saint Francis U,Spiro Sports Center,Staten Island,NY
basketball,college,ncaab,2025-01-24,Friday,19:00:00,Mercyhurst,Wagner College,"Erie, PA",,
basketball,college,ncaab,2025-01-26,Sunday,14:00:00,Saint Francis U,Wagner College,"Loretto, PA",Loretto,PA
basketball,college,ncaab,2025-01-30,Thursday,19:00:00,Stonehill,Wagner College,"North Easton, MA",Easton,MA
basketball,college,ncaab,2025-02-01,Saturday,13:00:00,Wagner College,Le Moyne,Spiro Sports Center,Staten Island,NY
basketball,college,ncaab,2025-02-06,Thursday,19:00:00,Wagner College,LIU,Spiro Sports Center,Staten Island,NY
basketball,college,ncaab,2025-02-08,Saturday,13:00:00,FDU,Wagner College,"Teaneck, NJ",Teaneck,NJ
basketball,college,ncaab,2025-02-13,Thursday,19:00:00,Le Moyne,Wagner College,"Syracuse, NY",Syracuse,NY
basketball,college,ncaab,2025-02-20,Thursday,19:00:00,Wagner College,Stonehill,Spiro Sports Center,Staten Island,NY
basketball,college,ncaab,2025-02-22,Saturday,13:00:00,Chicago State,Wagner College,"Chicago, IL",,
basketball,college,ncaab,2025-02-27,Thursday,00:00:00,LIU,Wagner College,"Brooklyn, NY",Brooklyn,NY
basketball,college,ncaab,2025-03-01,Saturday,13:00:00,Wagner College,Central Connecticut State,Spiro Sports Center,Staten Island,NY
basketball,college,ncaab,2025-03-05,Wednesday,00:00:00,Wagner College,NEC Quarterfinal,,Staten Island,NY
basketball,college,ncaab,2025-03-08,Saturday,00:00:00,Wagner College,NEC Semifinal,,Staten Island,NY
basketball,college,ncaab,2025-03-11,Tuesday,00:00:00,Wagner College,NEC Championship,,Staten Island,NY
basketball,college,ncaab,2024-11-06,Wednesday,18:00:00,Rutgers,Wagner College,"Piscataway, NJ",New Brunswick,NJ
basketball,college,ncaab,2024-11-09,Saturday,13:00:00,Wagner College,Manor College,Spiro Sports Center,Staten Island,NY
basketball,college,ncaab,2024-11-13,Wednesday,18:30:00,St. John's,Wagner College, Carnesecca Arena,Queens,NY
basketball,college,ncaab,2024-11-16,Saturday,12:00:00,Seton Hall,Wagner College,Walsh Gymnasium,South Orange,NJ
basketball,college,ncaab,2024-11-19,Tuesday,19:00:00,Boston University,Wagner College,"Boston, MA",Boston,MA
basketball,college,ncaab,2024-11-23,Saturday,16:00:00,Wagner College,Springfield College,Spiro Sports Center,Staten Island,NY
basketball,college,ncaab,2024-11-26,Tuesday,19:00:00,Georgetown,Wagner College,"Washington, DC",Washington,DC
basketball,college,ncaab,2024-12-04,Wednesday,19:00:00,Wagner College,Coppin State,Spiro Sports Center,Staten Island,NY
basketball,college,ncaab,2024-12-08,Sunday,13:00:00,Maryland Eastern Shore,Wagner College,"Princess Anne, MD",Princess Anne,MD
basketball,college,ncaab,2024-12-14,Saturday,16:00:00,NJIT,Wagner College,"Newark, NJ",Newark,NJ
basketball,college,ncaab,2024-12-18,Wednesday,19:00:00,Wagner College,Manhattan,Spiro Sports Center,Staten Island,NY
basketball,college,ncaab,2024-12-21,Saturday,14:30:00,Wagner College,Penn State Fayette,Spiro Sports Center,Staten Island,NY
basketball,college,ncaab,2024-12-23,Monday,12:00:00,Wagner College,Penn State Scranton,Spiro Sports Center,Staten Island,NY
