sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
ice-hockey,college,ncaah,2023-10-07,Saturday,19:00:00,Quinnipiac,Boston College,"Hamden, CT",Hamden,CT
ice-hockey,college,ncaah,2023-10-13,Friday,19:00:00,Boston College,Long Island,"Chestnut Hill, MA",,
ice-hockey,college,ncaah,2023-10-20,Friday,19:00:00,Boston College,RPI,"Chestnut Hill, MA",,
ice-hockey,college,ncaah,2023-10-21,Saturday,19:00:00,Boston College,Denver,"Chestnut Hill, MA",,
ice-hockey,college,ncaah,2023-10-26,Thursday,19:00:00,Boston College,Michigan State,"Chestnut Hill, MA",,
ice-hockey,college,ncaah,2023-10-27,Friday,19:00:00,Boston College,Michigan State,"Chestnut Hill, MA",,
ice-hockey,college,ncaah,2023-11-03,Friday,19:00:00,Boston College,UMass Lowell,"Chestnut Hill, MA",,
ice-hockey,college,ncaah,2023-11-04,Saturday,18:00:00,UMass Lowell,Boston College,"Lowell, MA",,
ice-hockey,college,ncaah,2023-11-10,Friday,19:00:00,Maine,Boston College,"Orono, ME",,
ice-hockey,college,ncaah,2023-11-11,Saturday,19:00:00,Maine,Boston College,"Orono, ME",,
ice-hockey,college,ncaah,2023-11-17,Friday,19:00:00,Boston College,UConn,"Chestnut Hill, MA",,
ice-hockey,college,ncaah,2023-11-18,Saturday,19:00:00,UConn,Boston College,"Storrs, CT",,
ice-hockey,college,ncaah,2023-11-24,Friday,16:00:00,Notre Dame,Boston College,"South Bend, IN",,
ice-hockey,college,ncaah,2023-11-26,Sunday,13:00:00,Harvard,Boston College,"Cambridge, MA",,
ice-hockey,college,ncaah,2023-12-01,Friday,19:00:00,Boston College,Northeastern,"Chestnut Hill, MA",,
ice-hockey,college,ncaah,2023-12-02,Saturday,20:00:00,Northeastern,Boston College,"Boston, MA",,
ice-hockey,college,ncaah,2023-12-09,Saturday,16:30:00,Boston College,Providence,"Chestnut Hill, MA",,
ice-hockey,college,ncaah,2024-01-12,Friday,19:00:00,Boston College,Providence,"Chestnut Hill, MA",,
ice-hockey,college,ncaah,2024-01-13,Saturday,18:00:00,Providence,Boston College,"Providence, RI",,
ice-hockey,college,ncaah,2024-01-19,Friday,19:00:00,Merrimack,Boston College,"North Andover, MA",,
ice-hockey,college,ncaah,2024-01-21,Sunday,13:00:00,Boston College,Merrimack,"Chestnut Hill, MA",,
ice-hockey,college,ncaah,2024-01-26,Friday,19:00:00,Boston College,Boston University,"Chestnut Hill, MA",,
ice-hockey,college,ncaah,2024-01-27,Saturday,19:00:00,Boston University,Boston College,"Boston, MA",,
ice-hockey,college,ncaah,2024-02-02,Friday,19:15:00,UMass Lowell,Boston College,"Lowell, MA",,
ice-hockey,college,ncaah,2024-02-05,Monday,20:00:00,Boston College,Boston University,"Boston, MA",,
ice-hockey,college,ncaah,2024-02-09,Friday,19:00:00,Boston College,New Hampshire,"Chestnut Hill, MA",,
ice-hockey,college,ncaah,2024-02-12,Monday,00:00:00,Boston College,NU or Harvard,"Boston, MA",,
ice-hockey,college,ncaah,2024-02-16,Friday,19:00:00,UMass,Boston College,"Amherst, MA",,
ice-hockey,college,ncaah,2024-02-18,Sunday,13:00:00,Boston College,UMass,"Chestnut Hill, MA",,
ice-hockey,college,ncaah,2024-02-23,Friday,19:00:00,Boston College,Vermont,"Chestnut Hill, MA",,
ice-hockey,college,ncaah,2024-02-24,Saturday,19:00:00,Boston College,Vermont,"Chestnut Hill, MA",,
ice-hockey,college,ncaah,2024-03-01,Friday,19:00:00,New Hampshire,Boston College,"Durham, NH",Durham,NH
ice-hockey,college,ncaah,2024-03-03,Sunday,17:00:00,Boston College,New Hampshire,"Chestnut Hill, MA",,
ice-hockey,college,ncaah,2024-03-09,Saturday,19:00:00,Merrimack,Boston College,"North Andover, MA",,
ice-hockey,college,ncaah,2024-01-06,Saturday,19:00:00,Boston College,Simon Fraser (Exh),"Chestnut Hill, MA",,
