sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
ice-hockey,college,ncaah,2023-10-07,Saturday,19:05:00,Bentley,Boston University,"Waltham, MA",,
ice-hockey,college,ncaah,2023-10-13,Friday,20:00:00,New Hampshire,Boston University,"Durham, NH",Durham,NH
ice-hockey,college,ncaah,2023-10-14,Saturday,19:00:00,Boston University,U.S. Under-18 Team (exh.),Agganis Arena,,
ice-hockey,college,ncaah,2023-10-20,Friday,19:00:00,Notre Dame,Boston University,"South Bend, Ind.",,
ice-hockey,college,ncaah,2023-10-21,Saturday,18:00:00,Notre Dame,Boston University,"South Bend, Ind.",,
ice-hockey,college,ncaah,2023-10-27,Friday,19:00:00,Boston University,UMass,Agganis Arena,,
ice-hockey,college,ncaah,2023-10-28,Saturday,19:00:00,UMass,Boston University,"Amherst, MA",,
ice-hockey,college,ncaah,2023-11-03,Friday,19:00:00,Boston University,North Dakota,Agganis Arena,,
ice-hockey,college,ncaah,2023-11-04,Saturday,19:00:00,Boston University,North Dakota,Agganis Arena,,
ice-hockey,college,ncaah,2023-11-10,Friday,19:15:00,UMass Lowell,Boston University,"Lowell, MA",,
ice-hockey,college,ncaah,2023-11-11,Saturday,19:00:00,Boston University,UMass Lowell,Agganis Arena,,
ice-hockey,college,ncaah,2023-11-17,Friday,07:00:00,Boston University,Maine,Agganis Arena,,
ice-hockey,college,ncaah,2023-11-18,Saturday,18:00:00,Boston University,Maine,Agganis Arena,,
ice-hockey,college,ncaah,2023-11-22,Wednesday,17:00:00,Boston University,Quinnipiac,Agganis Arena,,
ice-hockey,college,ncaah,2023-11-25,Saturday,20:00:00,Boston University,Cornell,"New York, NY (Madison Square Garden)",,
ice-hockey,college,ncaah,2023-12-01,Friday,19:30:00,Merrimack,Boston University,"North Andover, MA",,
ice-hockey,college,ncaah,2023-12-02,Saturday,18:00:00,Boston University,Merrimack,Agganis Arena,,
ice-hockey,college,ncaah,2023-12-29,Friday,19:00:00,Yale,Boston University,"New Haven, CT",New Haven,CT
ice-hockey,college,ncaah,2024-01-09,Tuesday,19:00:00,Boston University,Northeastern,Agganis Arena,,
ice-hockey,college,ncaah,2024-01-30,Tuesday,18:30:00,Northeastern,Boston University,"Boston, MA",,
ice-hockey,college,ncaah,2024-01-13,Saturday,18:00:00,Boston University,New Hampshire,Agganis Arena,,
ice-hockey,college,ncaah,2024-01-19,Friday,19:00:00,Vermont,Boston University,"Burlington, VT",,
ice-hockey,college,ncaah,2024-01-20,Saturday,19:00:00,Vermont,Boston University,"Burlington, VT",,
ice-hockey,college,ncaah,2024-01-26,Friday,19:00:00,Boston College,Boston University,"Chestnut Hill, MA",,
ice-hockey,college,ncaah,2024-01-27,Saturday,19:00:00,Boston University,Boston College,Agganis Arena,,
ice-hockey,college,ncaah,2024-02-02,Friday,19:00:00,New Hampshire,Boston University,"Durham, NH",Durham,NH
ice-hockey,college,ncaah,2024-02-05,Monday,20:00:00,Boston University,Boston College,"Boston, MA (TD Garden)",,
ice-hockey,college,ncaah,2024-02-12,Monday,00:00:00,Boston University,Harvard/Northeastern,"Boston, MA (TD Garden)",,
ice-hockey,college,ncaah,2024-02-09,Friday,19:00:00,Boston University,Merrimack,Agganis Arena,,
ice-hockey,college,ncaah,2024-02-16,Friday,19:00:00,Providence,Boston University,"Providence, RI",,
ice-hockey,college,ncaah,2024-02-17,Saturday,18:00:00,Boston University,Providence,Agganis Arena,,
ice-hockey,college,ncaah,2024-03-07,Thursday,12:00:00,Providence,Boston University,"Providence, RI",,
ice-hockey,college,ncaah,2024-02-23,Friday,12:00:00,UConn,Boston University,"Storrs, CT",,
ice-hockey,college,ncaah,2024-02-24,Saturday,12:00:00,Boston University,UConn,Agganis Arena,,
ice-hockey,college,ncaah,2024-03-09,Saturday,16:00:00,Boston University,Vermont,Agganis Arena,,
ice-hockey,college,ncaah,2024-01-05,Friday,19:00:00,Boston University,Simon Fraser (exh.),Agganis Arena,,
