sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
ice-hockey,college,ncaah,2023-10-07,Saturday,19:00:00,Northeastern University,Stonehill,Matthews Arena,,
ice-hockey,college,ncaah,2023-10-08,Sunday,16:00:00,Northeastern University,#2/3 Quinnipiac (exh.),Matthews Arena,,
ice-hockey,college,ncaah,2023-10-14,Saturday,19:00:00,Northeastern University,Bentley,Matthews Arena,,
ice-hockey,college,ncaah,2023-10-26,Thursday,19:00:00,New Hampshire,Northeastern University,"Durham, N.H.",Durham,NH
ice-hockey,college,ncaah,2023-10-28,Saturday,19:00:00,Northeastern University,#20 Merrimack,Matthews Arena,,
ice-hockey,college,ncaah,2023-11-03,Friday,19:30:00,#18 UMass,Northeastern University,"Amherst, Mass.",,
ice-hockey,college,ncaah,2023-11-10,Friday,19:00:00,#5/6 Providence,Northeastern University,"Providence, R.I.",,
ice-hockey,college,ncaah,2023-11-11,Saturday,19:00:00,Northeastern University,#5/6 Providence,Matthews Arena,,
ice-hockey,college,ncaah,2023-11-17,Friday,19:00:00,Northeastern University,#13 New Hampshire,Matthews Arena,,
ice-hockey,college,ncaah,2023-11-18,Saturday,19:00:00,#13 New Hampshire,Northeastern University,"Durham, N.H.",,
ice-hockey,college,ncaah,2023-11-25,Saturday,15:00:00,RPI,Northeastern University,"Troy, N.Y.",Troy,NY
ice-hockey,college,ncaah,2023-11-26,Sunday,15:00:00,RPI,Northeastern University,"Troy, NY",Troy,NY
ice-hockey,college,ncaah,2023-12-01,Friday,19:00:00,#1 Boston College,Northeastern University,"Chestnut Hill, MA",,
ice-hockey,college,ncaah,2023-12-02,Saturday,20:00:00,Northeastern University,#1 Boston College,Matthews Arena,,
ice-hockey,college,ncaah,2023-12-09,Saturday,19:00:00,Brown,Northeastern University,"Providence, R.I.",Providence,RI
ice-hockey,college,ncaah,2023-12-28,Thursday,17:00:00,Northeastern University,Minnesota Duluth,Fiserv Forum,,
ice-hockey,college,ncaah,2024-01-06,Saturday,17:00:00,Northeastern University,Quinnipiac,Matthews Arena,,
ice-hockey,college,ncaah,2024-01-09,Tuesday,19:00:00,Boston University,Northeastern University,"Boston, Mass.",,
ice-hockey,college,ncaah,2024-01-12,Friday,19:00:00,Northeastern University,Vermont,Matthews Arena,,
ice-hockey,college,ncaah,2024-01-13,Saturday,19:30:00,Northeastern University,Vermont,Matthews Arena,,
ice-hockey,college,ncaah,2024-01-20,Saturday,16:00:00,Northeastern University,UMass,Matthews Arena,,
ice-hockey,college,ncaah,2024-01-26,Friday,19:00:00,Northeastern University,Merrimack,Matthews Arena,,
ice-hockey,college,ncaah,2024-01-27,Saturday,19:00:00,Merrimack,Northeastern University,"North Andover, Mass.",,
ice-hockey,college,ncaah,2024-01-30,Tuesday,18:30:00,Northeastern University,Boston University,Matthews Arena,,
ice-hockey,college,ncaah,2024-02-02,Friday,19:00:00,Northeastern University,Maine,Matthews Arena,,
ice-hockey,college,ncaah,2024-02-05,Monday,00:00:00,Northeastern University,Harvard,TD Garden,,
ice-hockey,college,ncaah,2024-02-12,Monday,00:00:00,Northeastern University,BC/BU,TD Garden,,
ice-hockey,college,ncaah,2024-02-16,Friday,19:15:00,UMass Lowell,Northeastern University,"Lowell, Mass.",,
ice-hockey,college,ncaah,2024-02-17,Saturday,19:00:00,Northeastern University,UMass Lowell,Matthews Arena,,
ice-hockey,college,ncaah,2024-02-23,Friday,19:00:00,Maine,Northeastern University,"Orono, Maine",,
ice-hockey,college,ncaah,2024-02-24,Saturday,19:00:00,Maine,Northeastern University,"Orono, Maine",,
ice-hockey,college,ncaah,2024-03-01,Friday,19:00:00,Northeastern University,UConn,Matthews Arena,,
ice-hockey,college,ncaah,2024-03-02,Saturday,15:00:00,UConn,Northeastern University,"Storrs, Conn.",,
ice-hockey,college,ncaah,2024-03-09,Saturday,00:00:00,Providence,Northeastern University,"Providence, R.I.",,
