sport,level,league,date,day,time,home_team,road_team,location,home_city,home_state
football,pro,NFL,2023-09-07,Thursday,8:20PM,Kansas City Chiefs,Detroit Lions,,,
football,pro,NFL,2023-09-10,Sunday,1:00PM,Atlanta Falcons,Carolina Panthers,,,
football,pro,NFL,2023-09-10,Sunday,1:00PM,Cleveland Browns,Cincinnati Bengals,,,
football,pro,NFL,2023-09-10,Sunday,1:00PM,Indianapolis Colts,Jacksonville Jaguars,,,
football,pro,NFL,2023-09-10,Sunday,1:00PM,Washington Commanders,Arizona Cardinals,,,
football,pro,NFL,2023-09-10,Sunday,1:00PM,Baltimore Ravens,Houston Texans,,,
football,pro,NFL,2023-09-10,Sunday,1:00PM,Minnesota Vikings,Tampa Bay Buccaneers,,,
football,pro,NFL,2023-09-10,Sunday,1:00PM,New Orleans Saints,Tennessee Titans,,,
football,pro,NFL,2023-09-10,Sunday,1:00PM,Pittsburgh Steelers,San Francisco 49ers,,,
football,pro,NFL,2023-09-10,Sunday,4:25PM,Chicago Bears,Green Bay Packers,,,
football,pro,NFL,2023-09-10,Sunday,4:25PM,Denver Broncos,Las Vegas Raiders,,,
football,pro,NFL,2023-09-10,Sunday,4:25PM,Los Angeles Chargers,Miami Dolphins,,,
football,pro,NFL,2023-09-10,Sunday,4:25PM,New England Patriots,Philadelphia Eagles,,,
football,pro,NFL,2023-09-10,Sunday,4:25PM,Seattle Seahawks,Los Angeles Rams,,,
football,pro,NFL,2023-09-10,Sunday,8:20PM,New York Giants,Dallas Cowboys,,,
football,pro,NFL,2023-09-11,Monday,8:15PM,New York Jets,Buffalo Bills,,,
football,pro,NFL,2023-09-14,Thursday,8:15PM,Philadelphia Eagles,Minnesota Vikings,,,
football,pro,NFL,2023-09-17,Sunday,1:00PM,Atlanta Falcons,Green Bay Packers,,,
football,pro,NFL,2023-09-17,Sunday,1:00PM,Buffalo Bills,Las Vegas Raiders,,,
football,pro,NFL,2023-09-17,Sunday,1:00PM,Tampa Bay Buccaneers,Chicago Bears,,,
football,pro,NFL,2023-09-17,Sunday,1:00PM,Cincinnati Bengals,Baltimore Ravens,,,
football,pro,NFL,2023-09-17,Sunday,1:00PM,Houston Texans,Indianapolis Colts,,,
football,pro,NFL,2023-09-17,Sunday,1:00PM,Detroit Lions,Seattle Seahawks,,,
football,pro,NFL,2023-09-17,Sunday,1:00PM,Jacksonville Jaguars,Kansas City Chiefs,,,
football,pro,NFL,2023-09-17,Sunday,1:00PM,Tennessee Titans,Los Angeles Chargers,,,
football,pro,NFL,2023-09-17,Sunday,4:05PM,Arizona Cardinals,New York Giants,,,
football,pro,NFL,2023-09-17,Sunday,4:05PM,Los Angeles Rams,San Francisco 49ers,,,
football,pro,NFL,2023-09-17,Sunday,4:25PM,Dallas Cowboys,New York Jets,,,
football,pro,NFL,2023-09-17,Sunday,4:25PM,Denver Broncos,Washington Commanders,,,
football,pro,NFL,2023-09-17,Sunday,8:20PM,New England Patriots,Miami Dolphins,,,
football,pro,NFL,2023-09-18,Monday,7:15PM,Carolina Panthers,New Orleans Saints,,,
football,pro,NFL,2023-09-18,Monday,8:15PM,Pittsburgh Steelers,Cleveland Browns,,,
football,pro,NFL,2023-09-21,Thursday,8:15PM,San Francisco 49ers,New York Giants,,,
football,pro,NFL,2023-09-24,Sunday,1:00PM,Detroit Lions,Atlanta Falcons,,,
football,pro,NFL,2023-09-24,Sunday,1:00PM,Washington Commanders,Buffalo Bills,,,
football,pro,NFL,2023-09-24,Sunday,1:00PM,Cleveland Browns,Tennessee Titans,,,
football,pro,NFL,2023-09-24,Sunday,1:00PM,Baltimore Ravens,Indianapolis Colts,,,
football,pro,NFL,2023-09-24,Sunday,1:00PM,Miami Dolphins,Denver Broncos,,,
football,pro,NFL,2023-09-24,Sunday,1:00PM,Green Bay Packers,New Orleans Saints,,,
football,pro,NFL,2023-09-24,Sunday,1:00PM,Jacksonville Jaguars,Houston Texans,,,
football,pro,NFL,2023-09-24,Sunday,1:00PM,Minnesota Vikings,Los Angeles Chargers,,,
football,pro,NFL,2023-09-24,Sunday,1:00PM,New York Jets,New England Patriots,,,
football,pro,NFL,2023-09-24,Sunday,4:05PM,Seattle Seahawks,Carolina Panthers,,,
football,pro,NFL,2023-09-24,Sunday,4:25PM,Kansas City Chiefs,Chicago Bears,,,
football,pro,NFL,2023-09-24,Sunday,4:25PM,Arizona Cardinals,Dallas Cowboys,,,
football,pro,NFL,2023-09-24,Sunday,8:20PM,Las Vegas Raiders,Pittsburgh Steelers,,,
football,pro,NFL,2023-09-25,Monday,7:15PM,Tampa Bay Buccaneers,Philadelphia Eagles,,,
football,pro,NFL,2023-09-25,Monday,8:15PM,Cincinnati Bengals,Los Angeles Rams,,,
football,pro,NFL,2023-09-28,Thursday,8:15PM,Green Bay Packers,Detroit Lions,,,
football,pro,NFL,2023-10-01,Sunday,9:30AM,Jacksonville Jaguars,Atlanta Falcons,,,
football,pro,NFL,2023-10-01,Sunday,1:00PM,Buffalo Bills,Miami Dolphins,,,
football,pro,NFL,2023-10-01,Sunday,1:00PM,Carolina Panthers,Minnesota Vikings,,,
football,pro,NFL,2023-10-01,Sunday,1:00PM,Chicago Bears,Denver Broncos,,,
football,pro,NFL,2023-10-01,Sunday,1:00PM,Tennessee Titans,Cincinnati Bengals,,,
football,pro,NFL,2023-10-01,Sunday,1:00PM,Cleveland Browns,Baltimore Ravens,,,
football,pro,NFL,2023-10-01,Sunday,1:00PM,Indianapolis Colts,Los Angeles Rams,,,
football,pro,NFL,2023-10-01,Sunday,1:00PM,Houston Texans,Pittsburgh Steelers,,,
football,pro,NFL,2023-10-01,Sunday,1:00PM,New Orleans Saints,Tampa Bay Buccaneers,,,
football,pro,NFL,2023-10-01,Sunday,1:00PM,Philadelphia Eagles,Washington Commanders,,,
football,pro,NFL,2023-10-01,Sunday,4:05PM,Los Angeles Chargers,Las Vegas Raiders,,,
football,pro,NFL,2023-10-01,Sunday,4:25PM,San Francisco 49ers,Arizona Cardinals,,,
football,pro,NFL,2023-10-01,Sunday,4:25PM,Dallas Cowboys,New England Patriots,,,
football,pro,NFL,2023-10-01,Sunday,8:20PM,New York Jets,Kansas City Chiefs,,,
football,pro,NFL,2023-10-02,Monday,8:15PM,New York Giants,Seattle Seahawks,,,
football,pro,NFL,2023-10-05,Thursday,8:15PM,Washington Commanders,Chicago Bears,,,
football,pro,NFL,2023-10-08,Sunday,9:30AM,Buffalo Bills,Jacksonville Jaguars,,,
football,pro,NFL,2023-10-08,Sunday,1:00PM,Atlanta Falcons,Houston Texans,,,
football,pro,NFL,2023-10-08,Sunday,1:00PM,Detroit Lions,Carolina Panthers,,,
football,pro,NFL,2023-10-08,Sunday,1:00PM,Indianapolis Colts,Tennessee Titans,,,
football,pro,NFL,2023-10-08,Sunday,1:00PM,Miami Dolphins,New York Giants,,,
football,pro,NFL,2023-10-08,Sunday,1:00PM,New England Patriots,New Orleans Saints,,,
football,pro,NFL,2023-10-08,Sunday,1:00PM,Pittsburgh Steelers,Baltimore Ravens,,,
football,pro,NFL,2023-10-08,Sunday,4:05PM,Arizona Cardinals,Cincinnati Bengals,,,
football,pro,NFL,2023-10-08,Sunday,4:05PM,Los Angeles Rams,Philadelphia Eagles,,,
football,pro,NFL,2023-10-08,Sunday,4:25PM,Denver Broncos,New York Jets,,,
football,pro,NFL,2023-10-08,Sunday,4:25PM,Minnesota Vikings,Kansas City Chiefs,,,
football,pro,NFL,2023-10-08,Sunday,8:20PM,San Francisco 49ers,Dallas Cowboys,,,
football,pro,NFL,2023-10-09,Monday,8:15PM,Las Vegas Raiders,Green Bay Packers,,,
football,pro,NFL,2023-10-12,Thursday,8:15PM,Kansas City Chiefs,Denver Broncos,,,
football,pro,NFL,2023-10-15,Sunday,9:30AM,Tennessee Titans,Baltimore Ravens,,,
football,pro,NFL,2023-10-15,Sunday,1:00PM,Cleveland Browns,San Francisco 49ers,,,
football,pro,NFL,2023-10-15,Sunday,1:00PM,Atlanta Falcons,Washington Commanders,,,
football,pro,NFL,2023-10-15,Sunday,1:00PM,Miami Dolphins,Carolina Panthers,,,
football,pro,NFL,2023-10-15,Sunday,1:00PM,Chicago Bears,Minnesota Vikings,,,
football,pro,NFL,2023-10-15,Sunday,1:00PM,Cincinnati Bengals,Seattle Seahawks,,,
football,pro,NFL,2023-10-15,Sunday,1:00PM,Jacksonville Jaguars,Indianapolis Colts,,,
football,pro,NFL,2023-10-15,Sunday,1:00PM,Houston Texans,New Orleans Saints,,,
football,pro,NFL,2023-10-15,Sunday,4:05PM,Las Vegas Raiders,New England Patriots,,,
football,pro,NFL,2023-10-15,Sunday,4:25PM,Los Angeles Rams,Arizona Cardinals,,,
football,pro,NFL,2023-10-15,Sunday,4:25PM,Tampa Bay Buccaneers,Detroit Lions,,,
football,pro,NFL,2023-10-15,Sunday,4:25PM,New York Jets,Philadelphia Eagles,,,
football,pro,NFL,2023-10-15,Sunday,8:20PM,Buffalo Bills,New York Giants,,,
football,pro,NFL,2023-10-16,Monday,8:15PM,Los Angeles Chargers,Dallas Cowboys,,,
football,pro,NFL,2023-10-19,Thursday,8:15PM,New Orleans Saints,Jacksonville Jaguars,,,
football,pro,NFL,2023-10-22,Sunday,1:00PM,Indianapolis Colts,Cleveland Browns,,,
football,pro,NFL,2023-10-22,Sunday,1:00PM,Tampa Bay Buccaneers,Atlanta Falcons,,,
football,pro,NFL,2023-10-22,Sunday,1:00PM,New England Patriots,Buffalo Bills,,,
football,pro,NFL,2023-10-22,Sunday,1:00PM,Chicago Bears,Las Vegas Raiders,,,
football,pro,NFL,2023-10-22,Sunday,1:00PM,Baltimore Ravens,Detroit Lions,,,
football,pro,NFL,2023-10-22,Sunday,1:00PM,New York Giants,Washington Commanders,,,
football,pro,NFL,2023-10-22,Sunday,4:05PM,Los Angeles Rams,Pittsburgh Steelers,,,
football,pro,NFL,2023-10-22,Sunday,4:05PM,Seattle Seahawks,Arizona Cardinals,,,
football,pro,NFL,2023-10-22,Sunday,4:25PM,Denver Broncos,Green Bay Packers,,,
